Date,Open,High,Low,Close,Adj Close,Volume
2023-01-09,174.509995,175.039993,173.880005,174.100006,174.100006,5134500
2023-01-10,174.610001,174.979996,174.059998,174.740005,174.740005,4398400
2023-01-11,174.759995,174.789993,173.720001,174.619995,174.619995,3374200
2023-01-12,176.009995,176.710007,174.880005,176.639999,176.639999,6936900
2023-01-13,176.960007,178.830002,176.889999,178.759995,178.759995,7455100
2023-01-17,178.210007,178.240005,177.089996,177.589996,177.589996,6610800
2023-01-18,178.919998,179.179993,176.899994,177.080002,177.080002,5384700
2023-01-19,178.369995,180.029999,178.089996,179.889999,179.889999,6678700
2023-01-20,179.059998,179.660004,178.649994,179.289993,179.289993,5749000
2023-01-23,178.350006,179.690002,177.779999,179.630005,179.630005,5265500
2023-01-24,179.559998,180.320007,178.350006,180.279999,180.279999,4604600
2023-01-25,179.350006,181.220001,179.289993,181.110001,181.110001,6925300
2023-01-26,180.149994,180.270004,178.460007,179.470001,179.470001,5860100
2023-01-27,179.270004,179.720001,178.259995,179.220001,179.220001,5446400
